section,name,price,category,description,availability,img_primary,img_secondary,product_url
home,Neroli Jasmine – Natural Twigs Room Aromizer,$20.00 ,EVENT FRAGRANCES,"Calming, Uplifting & Healing
A decorative natural Room Aromizer combining dried natural twigs with pure essential oils & natural fragrance compounds.",In Stock,,Neroli Jasmine – Natural Twigs Room Aromizer_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-natural-twigs-room-aromizer/
home,Ceylon Spiced Sandalwood – Aromaveda Incense Sticks,$10.00 ,INCENSE STICKS,"The Majestic Ceylon Elephant is under threat of extinction, due to loss of its natural habitat & The resultant human-elephant conflict in Sri Lanka. By purchasing this product, you promote awareness & help conservation by donate 10% of the purchase price towards SPA CEYLON Elephant conservation initiatives. These traditional Ayurveda aroma incense sticks combine wild-crafted herbs, pure essential oils, natural resins & fragrance compounds to create exotic aromas inspired by the fragrant forest habitat of the Ceylon Elephant. The Spiced Sandalwood blend is an aromatic fusion of Vetiver & Patchouli, Sandalwood & Cinnamon essential oils with natural fragrance compounds. The blend gently infuses your living spaces with rich natural scents to soothe, calm & indulge your body, mind & soul.",In Stock,Ceylon Spiced Sandalwood – Aromaveda Incense Sticks_primary.jpg,Ceylon Spiced Sandalwood – Aromaveda Incense Sticks_secondary.jpg,https://store.spaceylon.com/product/ceylon-spiced-sandalwood-aromaveda-incense-sticks/
home,Ceylon Pink Grapefruit – Aromaveda Incense Sticks,$10.00 ,INCENSE STICKS,"The Majestic Ceylon Elephant is under threat of extinction, due to loss of its natural habitat & The resultant human-elephant conflict in Sri Lanka. By purchasing this product, you promote awareness & help conservation by donate 10% of the purchase price towards SPA CEYLON Elephant conservation initiatives.
These traditional Ayurveda aroma incense sticks combine wild-crafted herbs, pure essential oils, natural resins & fragrance compounds to create exotic aromas inspired by the fragrant forest habitat of the Ceylon Elephant. The Pink Grapefruit blend is an aromatic fusion of Grapefruit, Lime & Bergamot essential oils with natural fragrance compounds. The blend gently infuses your living spaces with rich Aroma Veda cents to awaken, uplift & refresh your body, mind & soul.",In Stock,Ceylon Pink Grapefruit – Aromaveda Incense Sticks_primary.jpg,Ceylon Pink Grapefruit – Aromaveda Incense Sticks_secondary.jpg,https://store.spaceylon.com/product/ceylon-pink-grapefruit-aromaveda-incense-sticks/
home,Ceylon Forest Trail – Aromaveda Incense Sticks,$10.00 ,INCENSE STICKS,"The Majestic Ceylon Elephant is under threat of extinction, due to loss of its natural habitat & The resultant human-elephant conflict in Sri Lanka. By purchasing this product, you promote awareness & help conservation by donate 10% of the purchase price towards SPA CEYLON Elephant conservation initiatives.
These traditional Ayurveda aroma incense sticks combine wild-crafted herbs, pure essential oils, natural resins & fragrance compounds to create exotic aromas inspired by the fragrant forest habitat of the Ceylon Elephant. The Forest Trail blend is an aromatic fusion of Peppermint, Spearmint, Lemongrass & Eucalyptus essential oils with natural compounds. The blend gently infuses your living spaces with rich natural scents to soothe, calm & relax your body, mind & soul.",Out of stock,Ceylon Forest Trail – Aromaveda Incense Sticks_primary.jpg,Ceylon Forest Trail – Aromaveda Incense Sticks_secondary.jpg,https://store.spaceylon.com/product/ceylon-forest-trail-aromaveda-incense-sticks/
home,Lavender Neroli Ylang – Aromaveda Sachet,$10.00 ,AROMA SACHETS,"Gently Pacifying, Soothing & Calming
A luxury aroma sachet uniquely combining natural volcanic minerals with pure essential oils & natural compounds to create exotic aromas reminiscent of old Ceylon. Ideal to naturally fragrance cars, pillows, linen, bedding, rawers, wardrobes, suitcases & small interior spaces.",In Stock,,Lavender Neroli Ylang – Aromaveda Sachet_secondary.jpg,https://store.spaceylon.com/product/lavender-neroli-ylang-aromaveda-sachet/
home,Ceylon Tea & Ylang – Aromaveda Sachet,$10.00 ,AROMA FOR BEDROOM,"Soothing, Balancing & Sensual
A luxury aroma sachet uniquely combining natural volcanic minerals with pure essential oils & natural compounds to create exotic aromas reminiscent of old Ceylon. Ideal to naturally fragrance cars, pillows, linen, bedding, rawers, wardrobes, suitcases & small interior spaces.",In Stock,,Ceylon Tea & Ylang – Aromaveda Sachet_secondary.jpg,https://store.spaceylon.com/product/ceylon-tea-ylang-aromaveda-sachet/
fragrance,Pink Grapefruit – Aromaveda Sachet,$10.00 ,AROMA SACHETS,"Awakening, Uplifting & Refreshing
A luxury aroma sachet uniquely combining natural volcanic minerals with pure essential oils & natural compounds to create exotic aromas reminiscent of old Ceylon. Ideal to naturally fragrance cars, pillows, linen, bedding, rawers, wardrobes, suitcases & small interior spaces.",In Stock,,Pink Grapefruit – Aromaveda Sachet_secondary.jpg,https://store.spaceylon.com/product/pink-grapefruit-aromaveda-sachet/
fragrance,Cardamom Rose – Aromaveda Incense Sticks,$11.00 ,CARDAMOM ROSE,"These traditional Ayurveda aroma incense sticks combining wild-crafted herbs, pure essential oils, natural resins & fragrance compounds to create exotic aromas reminiscent of old Ceylon. Our packaging is adorned with Royal insignia inspired by the Royal Kandyan courts of ancient Ceylon. The Cardamom Rose blend is a fusion of Ceylon Cardamom essential oil & Himalayan Rose essence with natural fragrance compounds. The blend gently infuses your living space with the power of Aroma Veda to fortify, uplift & delight your body, mind & soul.",Out of stock,Cardamom Rose – Aromaveda Incense Sticks_primary.jpg,Cardamom Rose – Aromaveda Incense Sticks_secondary.jpg,https://store.spaceylon.com/product/cardamom-rose-aromaveda-incense-sticks/
fragrance,Precious Wood – Home Aroma Blend 20ml,$19.00 ,HOME AROMA BLENDS,"100% pure natural essential oil distilled at source. Carefully processed to ensure rich natural aroma & benefits are preserved in every drop.
Soothing
Cooling
Refreshing",Out of stock,Precious Wood – Home Aroma Blend 20ml_primary.jpg,Precious Wood – Home Aroma Blend 20ml_secondary.jpg,https://store.spaceylon.com/product/precious-wood-home-aroma-blend-20ml/
fragrance,Aloe Watergrass – Home Aroma Blend 20ml,$17.00 ,HOME AROMA BLENDS,"100% pure natural essential oil distilled at source. Carefully processed to ensure rich natural aroma & benefits are preserved in every drop.
Soothing
Warming
Energising",Out of stock,Aloe Watergrass – Home Aroma Blend 20ml_primary.jpg,Aloe Watergrass – Home Aroma Blend 20ml_secondary.jpg,https://store.spaceylon.com/product/aloe-watergrass-home-aroma-blend-20ml/
fragrance,Forest Trail – Home Aroma Blend 20ml,$16.00 ,HOME AROMA BLENDS,"100% pure natural essential oil distilled at source. Carefully processed to ensure rich natural aroma & benefits are preserved in every drop.
Soothing
Refreshing
Balancing",Out of stock,Forest Trail – Home Aroma Blend 20ml_primary.jpg,Forest Trail – Home Aroma Blend 20ml_secondary.jpg,https://store.spaceylon.com/product/forest-trail-home-aroma-blend-20ml/
fragrance,Ceylon Tea & Ylang – Home Aroma Blend 20ml,$17.00 ,HOME AROMA BLENDS,100% pure natural essential oil distilled at source. Carefully processed to ensure rich natural aroma & benefits are preserved in every drop.,Out of stock,Ceylon Tea & Ylang – Home Aroma Blend 20ml_primary.jpg,Ceylon Tea & Ylang – Home Aroma Blend 20ml_secondary.jpg,https://store.spaceylon.com/product/ceylon-tea-ylang-home-aroma-blend-20ml/
fragrance,Cardamom Rose – Home Spa Set,$46.00 ,BRIDAL SHOWER,"A selection of indulgent Ayurveda home spa formulae infused with precious herbs & pure aromatic essential oils.
Available to purchase in the local Stores.",Out of stock,,,https://store.spaceylon.com/product/cardamom-rose-home-spa-set/
fragrance,Pink Grapefruit – Home Aroma Blend 20ml,$15.00 ,HOME AROMA BLENDS,For body massage use. Best for oily / Problem skin.,Out of stock,Pink Grapefruit – Home Aroma Blend 20ml_primary.jpg,Pink Grapefruit – Home Aroma Blend 20ml_secondary.jpg,https://store.spaceylon.com/product/pink-grapefruit-home-aroma-blend-20ml/
fragrance,Neroli – Essential Oil 20ml,$19.00 ,ESSENTIAL OILS,For body massage use. Best for mature / dry skin.,In Stock,Neroli – Essential Oil 20ml_primary.jpg,Neroli – Essential Oil 20ml_secondary.jpg,https://store.spaceylon.com/product/neroli-essential-oil-20ml/
fragrance,Peppermint – Essential Oil 20ml,$12.00 ,ESSENTIAL OILS,For body massage use: Best for oily skin.,In Stock,Peppermint – Essential Oil 20ml_primary.jpg,Peppermint – Essential Oil 20ml_secondary.jpg,https://store.spaceylon.com/product/peppermint-essential-oil-20ml/
fragrance,Sandalwood Vetiver – Hair Oil Mist 100ml,$17.00 ,DANDRUFF & OILY SCALP,"A fast absorbent natural shine formula, with refreshing aromatic herbs.",Out of stock,Sandalwood Vetiver – Hair Oil Mist 100ml_primary.jpg,,https://store.spaceylon.com/product/sandalwood-vetiver-hair-oil-mist-100ml/
fragrance,Aloe Vera Water Grass – Hair Oil Mist 100ml,$17.00 ,MIST,"A fast-absorbent natural shine formula, with refreshing & fortifying Ayurveda herbs & essential oils.",Out of stock,Aloe Vera Water Grass – Hair Oil Mist 100ml_primary.jpg,,https://store.spaceylon.com/product/aloe-vera-water-grass-hair-oil-mist-100ml/
fragrance,Spa Ceylon Red Eau De Perfume 100ml,$37.00 ,FOR MEN,"A warm woody masculine fragrance, blending top notes of Fresh Cut Citrus with Energising Island Spices, indulging you in an exhilarating escape to the fabled spice gardens of old Ceylon.",Out of stock,Spa Ceylon Red Eau De Perfume 100ml_primary.jpg,Spa Ceylon Red Eau De Perfume 100ml_secondary.jpg,https://store.spaceylon.com/product/spa-ceylon-red-eau-de-perfume-100ml/
fragrance,Spa Ceylon Green Eau De Perfume 100ml,$37.00 ,FOR MEN,"A fresh masculine fragrance, blending top notes of Sweet Island Citrus & Rich Tropical Greens, splashed with a hint of Ceylon Spice, indulging you in an uplifting escape to the green tropical rainforests of old Ceylon.",Out of stock,Spa Ceylon Green Eau De Perfume 100ml_primary.jpg,Spa Ceylon Green Eau De Perfume 100ml_secondary.jpg,https://store.spaceylon.com/product/spa-ceylon-green-eau-de-perfume-100ml/
fragrance,Spa Ceylon Blue Eau De Perfume 100ml,$37.00 ,FOR MEN,"An intensely masculine fragrance, blending top notes of Island Citrons & Rich Tropical Greens with subtle Florals, indulging you in an invigorating escape to the seaside estates of old Ceylon.",Out of stock,Spa Ceylon Blue Eau De Perfume 100ml_primary.jpg,Spa Ceylon Blue Eau De Perfume 100ml_secondary.jpg,https://store.spaceylon.com/product/spa-ceylon-blue-eau-de-perfume-100ml/
fragrance,Forest Energy Ceylon Elephant Eau De Perfume 100ml,$37.00 ,FOR MEN,"A powerful masculine scent combining Fresh Herbals with Sweet Citroens, leading to an intense base of Dark Oriental Woods, inspired by the fragrant woodland forest habitats of the Majestic Ceylon Elephant.",Out of stock,Forest Energy Ceylon Elephant Eau De Perfume 100ml_primary.jpg,Forest Energy Ceylon Elephant Eau De Perfume 100ml_secondary.jpg,https://store.spaceylon.com/product/forest-energy-ceylon-elephant-eau-de-perfume-100ml-2/
fragrance,Forest Escape Ceylon Elephant Eau De Perfume 100ml,$37.00 ,FOR MEN,"An intensely masculine scent combining top notes of Island Citrons, Tropical Greens & Subtle Florals, in a blend inspired by the fragrant deep-forest habitats of the Majestic Ceylon Elephant.",Out of stock,Forest Escape Ceylon Elephant Eau De Perfume 100ml_primary.jpg,Forest Escape Ceylon Elephant Eau De Perfume 100ml_secondary.jpg,https://store.spaceylon.com/product/forest-escape-ceylon-elephant-eau-de-perfume-100ml-2/
fragrance,Forest Tribe Ceylon Elephant Eau De Perfume 100ml,$37.00 ,FOR MEN,"A refreshing masculine scent combining sparkling top notes of Bitter Sweet Citrons, Wild Herbs & Cool Sea Breeze, inspired by the fragrant seaside forest habitats of the Majestic Ceylon Elephant.",Out of stock,Forest Tribe Ceylon Elephant Eau De Perfume 100ml_primary.jpg,Forest Tribe Ceylon Elephant Eau De Perfume 100ml_secondary.jpg,https://store.spaceylon.com/product/forest-tribe-ceylon-elephant-eau-de-perfume-100ml-2/
fragrance,Hikkaduwa Eau De Perfume – 50ml,$28.00 ,BEACH PERFUMES,"Dive into the coral beaches of Hikkaduwa with this exotic tropical fragrance, reminiscent of an island escape to the sun-kissed beaches of Ceylon.",Out of stock,Hikkaduwa Eau De Perfume – 50ml_primary.jpg,Hikkaduwa Eau De Perfume – 50ml_secondary.jpg,https://store.spaceylon.com/product/hikkaduwa-eau-de-perfume-50ml/
fragrance,Unawatuna Eau De Perfume – 50ml,$28.00 ,BEACH PERFUMES,"Chill on the jungle beaches of Unawatuna with this exotic tropical fragrance, reminiscent of an island escape to the sun-kissed beaches of Ceylon",Out of stock,Unawatuna Eau De Perfume – 50ml_primary.jpg,Unawatuna Eau De Perfume – 50ml_secondary.jpg,https://store.spaceylon.com/product/unawatuna-eau-de-perfume-50ml/
fragrance,Mirissa Eau De Perfume – 50ml,$28.00 ,BEACH PERFUMES,"Explore the Secret Beaches of Mirissa with this exotic tropical fragrance, reminiscent of an island escape to the wondrous sun-kissed beaches of Ceylon.",In Stock,Mirissa Eau De Perfume – 50ml_primary.jpg,Mirissa Eau De Perfume – 50ml_secondary.jpg,https://store.spaceylon.com/product/mirissa-eau-de-perfume-50ml/
fragrance,Arugambay Eau De Perfume – 50ml,$28.00 ,BEACH PERFUMES,"Surf by the tropical beaches of Arugam Bay with this exotic tropical fragrance, reminiscent of an island escape to the sun-kissed beaches of Ceylon.",In Stock,Arugambay Eau De Perfume – 50ml_primary.jpg,Arugambay Eau De Perfume – 50ml_secondary.jpg,https://store.spaceylon.com/product/arugambay-eau-de-perfume-50ml/
fragrance,Royal Lotus – Eau de Perfume Roll-On – 10ml,$10.00 ,FRAGRANCES,"A luxurious exotic vibrant floral bouquet of Ceylonese Royal Lotus sparkling with a combination of Ceylon Frangipani & Island Magnolia, indulging you in a sensual escape to the Moon-lit Royal Lotus Lakes of old Ceylon.",Out of stock,Royal Lotus – Eau de Perfume Roll-On – 10ml_primary.jpg,,https://store.spaceylon.com/product/royal-lotus-eau-de-perfume-roll-on-10ml/
fragrance,Island Rose – Eau de Perfume Roll-On – 10ml,$10.00 ,FRAGRANCES,"A luxuriously vivacious floral bouquet of Exotic Oriental Roses with a soft touch of Violets & Geraniums, indulging you in a romantic escape to the Misty Mountain Gardens of old Ceylon.",Out of stock,Island Rose – Eau de Perfume Roll-On – 10ml_primary.jpg,,https://store.spaceylon.com/product/island-rose-eau-de-perfume-roll-on-10ml/
fragrance,Royal Lotus -Bath & Shower Gel 250ml,$21.00 ,BATH & SHOWER,A mild cleansing formula infused with precious herbs & pure essential oils.,Out of stock,Royal Lotus -Bath & Shower Gel 250ml_primary.jpg,Royal Lotus -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/royal-lotus-bath-shower-gel-250ml/
fragrance,Unawatuna -Bath & Shower Gel 250ml,$21.00 ,BATH & SHOWER,A mild cleansing formula infused with precious herbs & pure essential oils.,Out of stock,Unawatuna -Bath & Shower Gel 250ml_primary.jpg,Unawatuna -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/unawatuna-bath-shower-gel-250ml/
fragrance,Island Rose -Bath & Shower Gel 250ml,$21.00 ,BATH & SHOWER,A mild cleansing formula infused with precious herbs & pure essential oils.,In Stock,Island Rose -Bath & Shower Gel 250ml_primary.jpg,Island Rose -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/island-rose-bath-shower-gel-250ml/
fragrance,Mirissa -Bath & Shower Gel 250ml,$21.00 ,BATH & SHOWER,A mild cleansing formula infused with precious herbs & pure essential oils.,In Stock,Mirissa -Bath & Shower Gel 250ml_primary.jpg,Mirissa -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/mirissa-bath-shower-gel-250ml/
fragrance,Tuberose- Eau De Perfume-50ml,$32.00 ,BEST SELLERS,"A luxurious blissful floral bouquet of Oriental Tuberose twinned with whispers of Ceylonese Jasmine, indulging you in a sensual escape to the Royal Floral Gardens of old Ceylon.",In Stock,Tuberose- Eau De Perfume-50ml_primary.jpg,Tuberose- Eau De Perfume-50ml_secondary.jpg,https://store.spaceylon.com/product/tuberose-eau-de-perfume-50ml/
fragrance,Royal Lotus- Eau De Perfume-50ml,$32.00 ,EAU DE PERFUME,"A luxurious exotic vibrant floral bouquet of Ceylonese Royal Lotus sparkling with a combination of Ceylon Frangipani & Island Magnolia, indulging you in a sensual escape to the Moon-lit Royal Lotus Lakes of old Ceylon.",In Stock,Royal Lotus- Eau De Perfume-50ml_primary.jpg,Royal Lotus- Eau De Perfume-50ml_secondary.jpg,https://store.spaceylon.com/product/royal-lotus-eau-de-perfume-50ml/
fragrance,Night Jasmine- Eau De Perfume -50ml,$32.00 ,EAU DE PERFUME,"A luxurious sophisticated oriental floral bouquet of Night Jasmines sparkling with Island Champaka & Ceylon Orchids, indulging you in a romantic sunset escape to the sea-side Royal Gardens of old Ceylon.",Out of stock,Night Jasmine- Eau De Perfume -50ml_primary.jpg,Night Jasmine- Eau De Perfume -50ml_secondary.jpg,https://store.spaceylon.com/product/night-jasmine-eau-de-perfume-50ml/
fragrance,Island Rose -Eau De Perfume -50ml,$32.00 ,EAU DE PERFUME,"A luxuriously vivacious floral bouquet of Exotic Oriental Roses with a soft touch of Violets & Geraniums, indulging you in a romantic escape to the Misty Mountain Gardens of old Ceylon.",Out of stock,Island Rose -Eau De Perfume -50ml_primary.jpg,Island Rose -Eau De Perfume -50ml_secondary.jpg,https://store.spaceylon.com/product/island-rose-eau-de-perfume-50ml/
fragrance,Mirissa – Nourishing Hand & Body Lotion – 160ml,$21.00 ,BODY LOTIONS,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",In Stock,Mirissa – Nourishing Hand & Body Lotion – 160ml_primary.jpg,Mirissa – Nourishing Hand & Body Lotion – 160ml_secondary.jpg,https://store.spaceylon.com/product/mirissa-nourishing-hand-body-lotion-160ml/
fragrance,Royal Lotus – Nourishing Hand & Body Lotion – 160ml,$21.00 ,BODY LOTIONS,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",Out of stock,Royal Lotus – Nourishing Hand & Body Lotion – 160ml_primary.jpg,Royal Lotus – Nourishing Hand & Body Lotion – 160ml_secondary.jpg,https://store.spaceylon.com/product/royal-lotus-nourishing-hand-body-lotion-160ml/
fragrance,Hikkaduwa – Body Spray 200ml,$18.00 ,BODY SPRAYS,"Dive into the coral beaches of Hikkaduwa with this exotic perfume blend, reminiscent of a tropical island escape to the sunkissed beaches of Ceylon.
Infused with aromatic notes of Watermelon, Pineapple, Guava & Jasmine combined with pure essential oil of mesmerizing Neroli Blossom, this tropical scent keeps you fresh & fragrant all-day long.",In Stock,Hikkaduwa – Body Spray 200ml_primary.jpg,Hikkaduwa – Body Spray 200ml_secondary.jpg,https://store.spaceylon.com/product/hikkaduwa-body-spray-200ml/
fragrance,Island Rose – Nourishing Hand & Body Lotion – 160ml,$21.00 ,BODY LOTIONS,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",Out of stock,Island Rose – Nourishing Hand & Body Lotion – 160ml_primary.jpg,Island Rose – Nourishing Hand & Body Lotion – 160ml_secondary.jpg,https://store.spaceylon.com/product/island-rose-nourishing-hand-body-lotion-160ml/
fragrance,Night Jasmine – Body Dusting Powder 100g,$18.00 ,DUSTING POWDER,"A luxuriously soft talc-free blend of finely milled botanicals, florals & mineral powders to minimise excess moisture & keep skin smooth, soft & delightfully fragranced though the day. Infused with aromatic essential oils & tropical floral essences reminiscent of the exotic isle of Ceylon.",In Stock,Night Jasmine – Body Dusting Powder 100g_primary.jpg,Night Jasmine – Body Dusting Powder 100g_secondary.jpg,https://store.spaceylon.com/product/night-jasmine-body-dusting-powder-100g/
fragrance,Island Rose – Body Dusting Powder 100g,$18.00 ,DUSTING POWDER,"A luxuriously soft talc-free blend of finely milled botanicals, florals & mineral powders to minimise excess moisture & keep skin smooth, soft & delightfully fragranced though the day. Infused with aromatic essential oils & tropical floral essences reminiscent of the exotic isle of Ceylon.",In Stock,Island Rose – Body Dusting Powder 100g_primary.jpg,Island Rose – Body Dusting Powder 100g_secondary.jpg,https://store.spaceylon.com/product/island-rose-body-dusting-powder-100g/
fragrance,Jasmine Frangipani – Eau De Ceylon 100ml,$35.00 ,BRIDAL SHOWER,"Set out on a blissful journey through tropical Ceylon with this light, breezy cologne.",Out of stock,Jasmine Frangipani – Eau De Ceylon 100ml_primary.jpg,Jasmine Frangipani – Eau De Ceylon 100ml_secondary.jpg,https://store.spaceylon.com/product/jasmine-frangipani-eau-de-ceylon-100ml/
fragrance,Island Rose – Creme Perfume,$13.00 ,BRIDAL SHOWER,"A rich floral fragrance concentrate in an alcohol-free, non-oily, fast absorbent",In Stock,Island Rose – Creme Perfume_primary.jpg,Island Rose – Creme Perfume_secondary.jpg,https://store.spaceylon.com/product/island-rose-creme-perfume/
fragrance,Grapefruit Blossom – Eau De Ceylon 100ml,$29.00 ,BRIDAL SHOWER,Set out on a blissful journey through tropical Ceylon with this aromatic island water.,Out of stock,Grapefruit Blossom – Eau De Ceylon 100ml_primary.jpg,Grapefruit Blossom – Eau De Ceylon 100ml_secondary.jpg,https://store.spaceylon.com/product/grapefruit-blossom-eau-de-ceylon-100ml/
fragrance,Night Jasmine – Body Spray 200ml,$18.00 ,BODY SPRAYS,"A rich blend of aromatic floral essences, reminiscent of the Royal Flower Gardens of ancient Ceylon. Infused with the pure essential oil of uplifting & romantic Night Jasmine, this island aroma keeps you fresh & fragrant all-day long.",Out of stock,Night Jasmine – Body Spray 200ml_primary.jpg,Night Jasmine – Body Spray 200ml_secondary.jpg,https://store.spaceylon.com/product/night-jasmine-body-spray-200ml/
more,Jewel Paradise – Island Cracker (Large),$20.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – Island Cracker (Large)_primary.jpg,Jewel Paradise – Island Cracker (Large)_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-island-cracker-large/
more,Jewel Paradise – Bath & Body Collection,$33.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – Bath & Body Collection_primary.jpg,Jewel Paradise – Bath & Body Collection_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-bath-body-collection/
more,Jewel Paradise – 100g Luxury Soap Collection,$13.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – 100g Luxury Soap Collection_primary.jpg,Jewel Paradise – 100g Luxury Soap Collection_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-100g-luxury-soap-collection/
more,Jewel Paradise – 50g Luxury Soap Collection,$10.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – 50g Luxury Soap Collection_primary.jpg,Jewel Paradise – 50g Luxury Soap Collection_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-50g-luxury-soap-collection/
more,Jewel Paradise – Island Treats –  Royal Lotus,$16.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – Island Treats –  Royal Lotus_primary.jpg,Jewel Paradise – Island Treats –  Royal Lotus_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-island-treats-royal-lotus/
more,Jewel Paradise – Island Treats – Neroli Jasmine,$16.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – Island Treats – Neroli Jasmine_primary.jpg,Jewel Paradise – Island Treats – Neroli Jasmine_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-island-treats-neroli-jasmine/
more,Jewel Paradise – Island Treats – Kandyan Rose,$16.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – Island Treats – Kandyan Rose_primary.jpg,Jewel Paradise – Island Treats – Kandyan Rose_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-island-treats-kandyan-rose/
more,Jewel Paradise – Island Cracker Trio,$13.00 ,FESTIVE EDITIONS,"This festive season, we celebrate Ceylon’s rich heritage of exotic, coloured gemstones, treasured over centuries of time. The limited-edition celebration collections are adorned with these precious sparkling jewels, uniquely laid out in our signature floral artistry, inspired by traditional motifs from the grand Royal palaces of ancient Ceylon.
Every time you purchase or gift an item from our Jewel Paradise Collection, you contribute a part of the proceeds towards Spa Ceylon’s initiatives, to help conserve endangered species of rare Ceylonese flowers in the rainforest regions of the island.",Out of stock,Jewel Paradise – Island Cracker Trio_primary.jpg,Jewel Paradise – Island Cracker Trio_secondary.jpg,https://store.spaceylon.com/product/jewel-paradise-island-cracker-trio/
